Rhamnos;Fucos;Arabinos;Xylos;Mannos
-0,313902852;-0,282933365;1,391224687;1,788168028;0,294898471
-0,469619703;-0,616760378;1,279713657;1,568745076;0,120126953
-0,46090911;-0,630022158;1,172999031;1,54169426;0,11592353
-0,336872317;-0,867024491;0,550949775;1,227357245;0,182863077
-0,337656938;-0,618633576;0,009999835;0,757890368;0,348958247
-0,387693955;-0,653888007;1,387992918;1,367450424;0,163690743
-0,389892001;-0,64443321;1,108806814;1,286031939;0,124109647
-0,277665737;-0,583987889;1,389867968;1,365257122;0,293206783
0,695359731;-1,885520849;-0,23495048;0,970506153;1,006814932
0,78642803;-1,976957158;-0,266912592;0,970991016;0,872648096
0,425601013;-1,846743778;-0,395207894;0,884056755;0,863400373
1,001587306;-2,105128649;-0,135499041;1,299128427;1,14225909
1,34469863;-2,302585093;-0,300105592;1,311958671;0,983010622
1,137332877;-2,302585093;-0,026672571;1,264109778;1,146274833
0,814164979;-2,302585093;-0,774031909;0,957904733;0,717425073
0,441379078;-2,302585093;-0,480361083;0,996372823;0,696765626
0,963384219;-1,854699269;-0,619785201;1,023877967;0,680608904
0,01239289;-1,606342708;-0,136518707;1,173045446;0,79588877
0,169801845;-2,302585093;-0,104216726;1,085881596;0,587808887
-0,293579428;-1,495573656;-0,114412472;1,341597682;0,258194043
0,030994664;-2,302585093;-0,085895636;1,351964269;0,772286403
-0,093453904;-2,185157676;-0,324913299;0,640041719;0,40320255
-0,108643677;-0,752727348;0,898460718;1,198062372;0,602193497
0,665786261;-1,34992386;-0,125415842;1,370916729;0,959660518
0,470116123;-1,476219069;-0,044160896;1,314564712;0,972984816
0,663414513;-1,504357436;-0,22844508;1,332083657;0,935481407
-0,47758429;-1,287318182;0,016394867;1,121573322;0,176915303
-0,339129765;-1,099132424;-0,113986502;0,616962438;0,109858385
-0,324636555;-1,702540531;-0,416061047;0,748321683;0,026232889
1,133429088;-2,302585093;-0,525161223;1,304699199;1,023446835
0,294980375;-2,302585093;-0,52087596;0,961757284;0,755952951
-0,439668429;-0,705563951;0,503662026;1,314035448;0,12891199
-0,534828058;-0,841740001;0,216094767;0,91698649;0,09748055
0,03326068;-0,530637251;0,765505051;1,137538087;0,616082534
-0,436120211;-0,570345648;0,177987177;0,639092181;0,112042144
-0,499490114;-0,917191137;0,150650275;0,424273778;0,140691945
-0,459530663;-1,428659212;0,364969449;0,687320237;0,063087469
-0,206778197;-1,059583902;-0,002382837;1,040396846;0,355819578
-0,073205303;-0,922585502;0,418381333;1,254872171;0,757749762
-0,123558431;-1,687291352;0,516248891;0,908887395;0,344135655
