"name","numBikesAvailable","lon","lat"
"Chevreuse - Montparnasse",8,2.33155221673674,48.8417391612309
"Colonel Pierre Avia",7,2.27534258685029,48.8296843300915
"Cujas - Saint-Michel",8,2.34183165485398,48.8481913485843
"Gare du Nord - Saint-Vincent de Paul",9,2.35243051483852,48.8809557416478
"George Sand-Jean De La Fontaine",21,2.2682573875257,48.8498691876412
"Gouthière - Poterne des Peupliers",10,2.351342,48.820507
"Alexander Fleming - Belvédère",5,2.40317936796956,48.8817697938583
"Assas - Rennes",9,2.32851454623001,48.8492084999386
"Chernoviz - Raynouard",2,2.28217321814299,48.8569864146289
"Choron - Martyrs",10,2.33967013657093,48.8778514435025
"Crevaux - Bugeaud",1,2.28114900769185,48.8708094286695
"Hautpoul - Jean Jaurès",10,2.38654145443545,48.8863936794358
"Institut de France",13,2.33583135303774,48.8576156785647
"Jules Vallès - Charonne",11,2.38476745784283,48.8542843799353
"Colonel Monteil - Brune",6,2.30927479982717,48.8265029331101
"Eglise d'Auteuil",7,2.26848387135299,48.8474984177169
"Geoffroy-Saint-Hilaire - Saint-Marcel",8,2.35687734066973,48.8390782642497
"La Motte-Picquet Grenelle",11,2.29924407694599,48.8486563159052
"Mairie du 9e",8,2.34075344805276,48.8732671375829
"Mozart - Jasmin",7,2.26848357065151,48.8528612487169
"Athènes - Clichy",16,2.32956021945824,48.878113787876
"Bassano -  Iéna",3,2.29614960098594,48.8681445104821
"Belleville -  Pré Saint-Gervais",2,2.39296078727983,48.8755180686487
"Bruant-Vincent Auriol",12,2.36682649962709,48.8348484529294
"Charenton - Jardiniers",7,2.39469266410605,48.8338217729227
"Charonne - Pierre Bayle",10,2.39039812238911,48.8584450542619
"Favart - Italiens",8,2.33829010585079,48.871446353921
"Flandrin - Longchamp",3,2.27435453917683,48.8687784917848
"Galilée - Kléber",8,2.29078138011482,48.8674118657137
"Goubet - Darius Milhaud",5,2.39020968744529,48.8846620656053
"Hauteville - Bonne Nouvelle",17,2.34964963683273,48.8707743602404
"Jean-Baptiste Pigalle - La Bruyere",4,2.33370917333728,48.8793982644772
"Le Brix et Mesmin-Jourdan",8,2.32786165330247,48.8223409659341
"Le Vau - Maurice Bertaux",4,2.41103061245363,48.8680343904319
"Louis Lumière",7,2.41112578185621,48.8621619807001
"Arsonval Falguière",10,2.31311786729747,48.8404004036544
"Assas - Luxembourg",6,2.33342838187589,48.8437344687794
"Duhamel - André Gide",1,2.31270712109741,48.8365662244334
"Gay Lussac - Saint-Jacques",9,2.34192394486641,48.8447302561321
"Grands Moulins de Pantin",6,2.39607900820668,48.8971300530746
"Marché Saint-Quentin",11,2.35451144563739,48.8773560576523
"Place de passy",4,2.2775005469422,48.857802917112
"Porte de Ménilmontant",1,2.40932246879487,48.8691543609174
"Saint-Bon - Rivoli",12,2.35021728097635,48.8579996433149
"Siam - La Pompe",3,2.27534656855531,48.8617203290273
"Ouest - Château",3,2.3193921439238,48.8361728601424
"Paul Doumer - La Tour",8,2.28084048191106,48.8601161096266
"Place du Canada",8,2.31019378796476,48.8653462693627
"Pré Saint-Gervais - Lilas",11,2.39598555362417,48.8779234119252
"Richard Lenoir - Jean-Pierre Timbaud",20,2.36933707496693,48.8658042766864
"Ventadour - Opéra",11,2.33438844825187,48.866810653323
"Pont de Lodi - Dauphine",12,2.33994730756525,48.8552968986033
"Pontoise - La Tournelle",7,2.35245427549219,48.8504580091884
"Roquette - Auguste Laurent",16,2.38179770265078,48.8580019060234
"Saint-Fargeau - Mortier",2,2.40820345430209,48.8727472690362
"Square Desnouettes",16,2.28414229739467,48.8347683793419
"Square des Saints-Simoniens",13,2.3967273,48.8701796
"Pierre Ginier Clichy",14,2.326228,48.8867667
"Sommerard - Saint-Jacques",19,2.34501583529859,48.8503104329245
"Traversière - Ledru-Rollin",36,2.37587011170625,48.8507358241288
"Versailles - Claude Terrasse",14,2.26383419115296,48.8402193380741
"Victor Hugo - La Pompe",9,2.28147752241719,48.8681088868974
"Volontaires-Vaugirard",8,2.30808901725357,48.84132050184
"Nationale-Vincent Auriol",12,2.36235441039212,48.8325270839729
"Parc Monceau",8,2.30951238050775,48.8811619835771
"Pergolèse - Marbeau",3,2.28151252252986,48.873568706869
"Petites Ecuries - Faubourg Poissonnière",11,2.34838875750478,48.8739721723737
"Toudouze - Clauzel",2,2.33719063927171,48.8795052656248
