id,nom,latitude,longitude,etat,nb_mplacements,emplacements_disponibles,velos_disponibles,date
23,La Rotonde,48.10665252, -1.686769954,En fonctionnement,20,4,16,2018-04-25T10:47:04+02:00
31,Voltaire,48.10524, -1.698107,En fonctionnement,16,9,7,2018-04-25T10:47:04+02:00
32,La Touche,48.11660778, -1.690943915,En fonctionnement,16,6,10,2018-04-25T10:47:04+02:00
34,Brest - Verdun,48.11301418, -1.693274277,En fonctionnement,16,7,9,2018-04-25T10:47:04+02:00
35,Pont de Châteaudun,48.1102635711, -1.6644429003,En fonctionnement,20,13,7,2018-04-25T10:47:04+02:00
57,Atalante Champeaux,48.11612208, -1.713728729,En fonctionnement,30,24,6,2018-04-25T10:47:04+02:00
67,Binquenais,48.09159372, -1.667320734,En fonctionnement,16,7,9,2018-04-25T10:47:04+02:00
74,De Lesseps,48.10095764, -1.707085909,En fonctionnement,24,23,1,2018-04-25T10:47:04+02:00
77,Houx Cité U,48.13052521, -1.663172649,En fonctionnement,14,7,7,2018-04-25T10:47:04+02:00
7,Fac de Droit,48.11817247, -1.670735466,En fonctionnement,26,7,19,2018-04-25T10:47:04+02:00
8,Rectorat,48.1193762, -1.674489958,En fonctionnement,18,16,2,2018-04-25T10:47:04+02:00
11,Liberté,48.10751404, -1.678163061,En fonctionnement,24,16,8,2018-04-25T10:47:04+02:00
13,Dinan,48.11721481, -1.68269744,En fonctionnement,15,14,1,2018-04-25T10:47:04+02:00
19,Plélo Colombier,48.10589742, -1.68137423,En fonctionnement,18,8,10,2018-04-25T10:47:04+02:00
24,Place de Bretagne,48.1096206, -1.684018814,En fonctionnement,8,3,5,2018-04-25T10:47:04+02:00
36,Paul Bert,48.11011517, -1.670039235,En fonctionnement,16,10,6,2018-04-25T10:47:04+02:00
38,Marbeuf,48.11174897, -1.70207683,En fonctionnement,19,10,9,2018-04-25T10:47:04+02:00
53,J.F. Kennedy,48.1214671, -1.709932637,En fonctionnement,24,23,1,2018-04-25T10:47:04+02:00
55,Préfecture,48.12845329, -1.694031862,En fonctionnement,27,18,9,2018-04-25T10:47:04+02:00
59,Gayeulles Piscine,48.13460942, -1.651576054,En fonctionnement,26,11,15,2018-04-25T10:47:04+02:00
62,Clemenceau,48.09329151, -1.674116371,En fonctionnement,22,18,4,2018-04-25T10:47:04+02:00
66,Bréquigny Piscine,48.08962083, -1.690241545,En fonctionnement,24,19,5,2018-04-25T10:47:04+02:00
69,Champs Manceaux,48.09111379, -1.682284448,En fonctionnement,18,12,6,2018-04-25T10:47:04+02:00
85,La Courrouze,48.098909, -1.694523,En fonctionnement,20,16,4,2018-04-25T10:47:04+02:00
86,Armorique,48.129754, -1.675788,En fonctionnement,24,11,13,2018-04-25T10:47:04+02:00
